"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","","AD0","CATEGORY","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","CONNECTOR TYPE","CONTACT MATING LENGTH","CONTACT TYPE","ESR (EQUIVALENT SERIES RESISTANCE)","FREQUENCY","FREQUENCY STABILITY","FREQUENCY TOLERANCE","FUNCTION","HEIGHT - SEATED (MAX)","LATESTREVISIONDATE","LATESTREVISIONNOTE","LOAD CAPACITANCE","MANUFACTURER 1","MANUFACTURER PART NUMBER 1","MANUFACTURER SIZE CODE","MATERIAL","MATING CONNECTOR","MOUNTING TYPE","NUMBER OF POSITIONS","NUMBER OF ROWS","NUMBER OF TURNS","OPERATING MODE","OPERATING TEMPERATU","OPERATING TEMPERATURE","PACKAGE / CASE","PARAMETER NAME","PITCH","POSITIONS PER LEVEL","PUBLISHER","QTYOVERRIDE","RATINGS","ROW SPACING","SIZE / DIMENSION","SUPPLIER 1","SUPPLIER PART NUMBER 1","TERMINAL BLOCK TYPE","TOLERANCE","TRANSISTOR TYPE","TYPE","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"24LC64","DFN-MD8","","","","","","24LC64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*?",""
"74LVC1G04GW","SOT-23-CT5_N","","","","","","74LVC1G04GW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*?",""
"74LVC1G125GW","SOT-23-CT5_N","","","","","","74LVC1G125GW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U??",""
"8P_TERM BLOCK HEADER","8P_PCB_TERM BLOCK HDR","","","","","Connectors","8P_TERM BLOCK HEADER","","","","","","","","","","","","","","","Tyco Electronics","284517-8","","","284507-8","Through Hole","","","","","","","Side Entry; 3.81mm pitch","","0.150" (3.81mm)","8","","","","","","Digi-Key","J19G$1","Header, Male Pins, Shrouded (4 Side)","","","","8 position","300V","","J?","Terminal Block, THT, 8-Position header, 3.81mm pitch"
"ALPS-SKQU","SOT-23-CH6_L","","","","","","ALPS-SKQU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"AT45DB081D-SU","SOIC-SN8_M","","","","","","AT45DB081D-SU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"BZ_12x8.5x6.5_2kHz","BUZZER_12.0X8.5MM","","","","","","Alternate part: 3100-932","","","","","","","","","","","","","","","CUI Inc","SPEAKER","","Noryl SE1-J","","","","","","","","","6.5mm pitch","","","","","","2048 ?00 Hz","","","Digi-Key","102-1152-ND","","","","","","","","BZ?","Speaker, Magnetic Transducer"
"CAPC_100n_0805","CAPC1608N","CAPC3216N","CAPC2012N","","","","approved sub OK","","","","","","","","","","","","","","","Kemet","C0805C104K5RACTU","","ceramic","","","","","","","","","0805 (2012 metric)","","","","","","50V; X7R","","","Digi-Key","399-1170-1-ND","","?0%","","","100nF","","","C?","Capacitor SMD Cer 100nF 10% 50V X7R 0805"
"CAPT_100u_1210_6V3","CAPMP3528X210N","","","100uF/16V","","","=Value","","","","","","","","","","","","","","","AVX Corporation","TCJB107M006R0045","","Tantalum","","","","","","","","","1210 (3528 Metric)","","","","","","","","","Digi-Key","478-4711-1-ND","","?0%","","","","","","C?","Capacitor SMD Tantalum 100uF 20% 6.3V 1210"
"CAPT_1u_0805_10V","CAPMP2012X150USR","","","","","","=Value","http://www.avx.com/docs/Catalogs/tajlp.pdf","http://www.avx.com/docs/Catalogs/tajlp.pdf","","","","6.000 Ohm","","","","","0.059" (1.50mm)","","","","AVX Corporation","TAJP106M010RNJ","P","Tantalum","","","","","","","-55°C ~ 125°C","","0805 (2012 metric)","","","","","","22uF/10V","","0.081" L x 0.053" W (2.05mm x 1.35mm)","Digi-Key","478-3281-1-ND","","?0%","","Molded","","","","C?","Capacitor SMD Tantalum 1uF 20% 10V 0805"
"CAT811S","SOT-143-RC4_N","","","","","","CAT811S","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"CONN_HEADER_1x3P_0.100in","1x3POS_HEADER","","","","","Connectors","CONN_HEADER_1x3P_0.100in","","","","","","","","","","","","","","","3M","929647-09-36-I","","","","Through Hole","","","","","","","Pin header; 2.54mm pitch","","0.100" (2.54mm)","","","0.1","","","","","","Header, Male Pins, Single","","","","Single-row, 3 positions","","","J?","Pin Header, THT, Single-row, 2.54mm pitch"
"CONN_PWR_JACK_2.1x5.5mm","CONN_PWR_JACK_2.1x5.5mm","","","","","Connectors","CONN_PWR_JACK_2.1x5.5mm","","","","","","","","","","","","","","","CUI Inc","PJ-102AH","","","","Through Hole","","","","","","","PCB mount","","","","","","","","","Digi-Key","CP-102AH-ND","","","","","2.1mm ID, 5.5mm OD","","","J??","Power Connector, THT, 2.1mm ID, 5.5mm OD"
